#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 01 00 00 999 99.0 99.0  0.42  4.26  2.55 359 9999.0   3.6   7.4 999.0 99.0 99.00
2024 01 01 00 30 999 99.0 99.0  0.41  4.17  2.60 358 9999.0   3.6   7.4 999.0 99.0 99.00
2024 01 01 01 00 999 99.0 99.0  0.40  3.13  2.53 335 9999.0   3.6   7.4 999.0 99.0 99.00
2024 01 01 01 30 999 99.0 99.0  0.39  3.17  2.51 341 9999.0   3.5   7.4 999.0 99.0 99.00
2024 01 01 02 00 999 99.0 99.0  0.40  3.70  2.48 359 9999.0   3.5   7.4 999.0 99.0 99.00
2024 01 01 02 30 999 99.0 99.0  0.40  2.90  2.36 330 9999.0   3.5   7.4 999.0 99.0 99.00
2024 01 01 03 00 999 99.0 99.0  0.42  2.20  2.31 269 9999.0   3.5   7.4 999.0 99.0 99.00
2024 01 01 03 30 999 99.0 99.0  0.44  2.56  2.35 292 9999.0   3.5   7.4 999.0 99.0 99.00
2024 01 01 04 00 999 99.0 99.0  0.49  2.35  2.39 267 9999.0   3.1   7.4 999.0 99.0 99.00
2024 01 01 04 30 999 99.0 99.0  0.45  2.50  2.40 286 9999.0   3.1   7.4 999.0 99.0 99.00
2024 01 01 05 00 999 99.0 99.0  0.49  3.03  2.50 339 9999.0   2.9   7.4 999.0 99.0 99.00
2024 01 01 05 30 999 99.0 99.0  0.48  3.39  2.62 340 9999.0   2.8   7.4 999.0 99.0 99.00
2024 01 01 06 00 999 99.0 99.0  0.51  3.85  2.77 342 9999.0   2.7   7.4 999.0 99.0 99.00
2024 01 01 06 30 999 99.0 99.0  0.52  3.57  2.82 338 9999.0   2.7   7.4 999.0 99.0 99.00
2024 01 01 07 00 999 99.0 99.0  0.52  3.92  2.80 349 9999.0   2.6   7.4 999.0 99.0 99.00
2024 01 01 07 30 999 99.0 99.0  0.53  3.92  2.75 348 9999.0   2.6   7.4 999.0 99.0 99.00
2024 01 01 08 00 999 99.0 99.0  0.51  3.92  2.78 353 9999.0   2.6   7.4 999.0 99.0 99.00
2024 01 01 08 30 999 99.0 99.0  0.52  3.92  2.82 354 9999.0   2.5   7.4 999.0 99.0 99.00
2024 01 01 09 00 999 99.0 99.0  0.50  3.70  2.90 345 9999.0   2.3   7.4 999.0 99.0 99.00
2024 01 01 09 30 999 99.0 99.0  0.47  3.77  2.83 352 9999.0   2.3   7.4 999.0 99.0 99.00
2024 01 01 10 00 999 99.0 99.0  0.48  3.77  2.84 349 9999.0   2.3   7.4 999.0 99.0 99.00
2024 01 01 10 30 999 99.0 99.0  0.50  3.85  2.87 354 9999.0   2.5   7.3 999.0 99.0 99.00
2024 01 01 11 00 999 99.0 99.0  0.58  4.17  3.05 358 9999.0   2.5   7.4 999.0 99.0 99.00
2024 01 01 11 30 999 99.0 99.0  0.57  4.65  3.15   5 9999.0   2.3   7.4 999.0 99.0 99.00
2024 01 01 12 00 999 99.0 99.0  0.56  4.55  3.17   3 9999.0   2.5   7.4 999.0 99.0 99.00
2024 01 01 12 30 999 99.0 99.0  0.58  4.26  3.18 358 9999.0   2.5   7.4 999.0 99.0 99.00
2024 01 01 13 00 999 99.0 99.0  0.58  4.35  3.17   1 9999.0   2.5   7.3 999.0 99.0 99.00
2024 01 01 13 30 999 99.0 99.0  0.54  4.00  2.99 352 9999.0   2.5   7.3 999.0 99.0 99.00
2024 01 01 14 00 999 99.0 99.0  0.52  4.08  2.90   1 9999.0   2.4   7.3 999.0 99.0 99.00
2024 01 01 14 30 999 99.0 99.0  0.49  3.77  2.78 357 9999.0   2.5   7.3 999.0 99.0 99.00
2024 01 01 15 00 999 99.0 99.0  0.46  3.28  2.65 346 9999.0   2.3   7.3 999.0 99.0 99.00
2024 01 01 15 30 999 99.0 99.0  0.45  3.92  2.64   1 9999.0   2.1   7.3 999.0 99.0 99.00
2024 01 01 16 00 999 99.0 99.0  0.44  3.77  2.64   0 9999.0   2.1   7.3 999.0 99.0 99.00
2024 01 01 16 30 999 99.0 99.0  0.43  3.64  2.66   2 9999.0   1.7   7.2 999.0 99.0 99.00
2024 01 01 17 00 999 99.0 99.0  0.46  3.85  2.62   1 9999.0   1.7   7.3 999.0 99.0 99.00
2024 01 01 17 30 999 99.0 99.0  0.47  3.57  2.66   3 9999.0   1.4   7.3 999.0 99.0 99.00
2024 01 01 18 00 999 99.0 99.0  0.54  4.44  2.96   6 9999.0   1.7   7.3 999.0 99.0 99.00
2024 01 01 18 30 999 99.0 99.0  0.56  4.35  2.98   0 9999.0   1.5   7.3 999.0 99.0 99.00
2024 01 01 19 00 999 99.0 99.0  0.58  4.44  3.12 357 9999.0   1.4   7.3 999.0 99.0 99.00
2024 01 01 19 30 999 99.0 99.0  0.59  4.65  3.24   1 9999.0   1.3   7.3 999.0 99.0 99.00
