YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
95 01 01 00 198 07.8 09.8 00.60 02.70 03.30 200 1024.4  03.2 999.0 999.0 20.0
95 01 01 01 206 08.8 11.6 00.60 03.00 03.30 217 1023.8  03.5 999.0 999.0 21.7
95 01 01 02 204 09.9 12.0 00.70 03.10 03.30 226 1022.5  04.1 999.0 999.0 22.6
95 01 01 03 205 11.5 14.2 00.80 03.30 03.30 217 1021.5  05.1 999.0 999.0 21.7
95 01 01 04 215 10.5 13.2 00.90 03.70 03.60 229 1021.4  04.8 999.0 999.0 22.9
95 01 01 05 222 08.4 09.8 00.80 03.70 03.40 242 1021.1  03.9 999.0 999.0 24.2
95 01 01 06 222 07.0 08.8 00.60 03.30 03.30 254 1020.4  03.5 999.0 999.0 25.4
95 01 01 07 206 05.5 07.0 00.40 02.90 03.20 252 1019.6  03.5 999.0 999.0 25.2
95 01 01 08 183 04.5 05.7 00.30 02.60 03.60 070 1018.6  03.8 999.0 999.0 07.0
95 01 01 09 168 05.3 06.4 00.20 16.70 04.20 059 1017.2  04.4 999.0 999.0 05.9
95 01 01 10 173 06.0 07.1 00.30 02.60 03.30 092 1015.9  04.7 999.0 999.0 09.2
95 01 01 11 175 03.4 04.0 00.30 02.60 03.40 145 1015.4  05.2 999.0 999.0 14.5
95 01 01 12 123 01.9 02.4 00.30 02.90 03.60 147 1014.2  05.6 999.0 999.0 14.7
95 01 01 13 110 03.3 04.3 00.30 03.60 03.80 138 1012.7  06.2 999.0 999.0 13.8
95 01 01 14 103 03.1 04.1 00.30 14.30 04.00 077 1011.1  07.4 999.0 999.0 07.7
95 01 01 15 065 02.0 02.6 00.30 14.30 03.70 093 1010.1  08.0 999.0 999.0 09.3
95 01 01 16 006 06.7 07.8 00.40 14.30 04.00 080 1007.6  06.6 999.0 999.0 08.0
95 01 01 17 355 08.5 10.0 00.50 02.80 03.20 024 1004.9  06.4 999.0 999.0 02.4
95 01 01 18 349 09.2 11.1 00.70 03.60 03.30 020 1003.5  06.3 999.0 999.0 02.0
95 01 01 19 312 09.9 11.5 00.80 03.80 03.50 029 1004.5  04.8 999.0 999.0 02.9
95 01 01 20 310 07.4 08.9 00.80 04.20 03.60 034 1005.7  03.6 999.0 999.0 03.4
95 01 01 21 303 05.2 06.4 00.80 04.20 03.70 037 1007.0  03.2 999.0 999.0 03.7
95 01 01 22 279 02.9 03.8 00.70 04.30 03.90 046 1007.8  02.8 999.0 999.0 04.6
95 01 01 23 271 04.6 05.5 00.60 05.00 04.20 045 1008.5  03.1 999.0 999.0 04.5
95 01 02 00 277 03.4 04.1 00.70 05.60 04.50 040 1008.6  03.3 999.0 999.0 04.0
95 01 02 01 245 03.1 04.1 00.80 05.00 04.80 047 1008.7  03.6 999.0 999.0 04.7
95 01 02 02 221 04.4 06.0 00.70 05.90 04.90 045 1008.7  03.6 999.0 999.0 04.5
95 01 02 03 224 04.1 06.0 00.70 05.60 05.00 040 1008.3  04.3 999.0 999.0 04.0
95 01 02 04 251 03.2 04.3 00.60 05.60 04.80 043 1007.9  05.5 999.0 999.0 04.3
95 01 02 05 218 05.2 06.1 00.60 05.60 04.80 046 1007.3  05.5 999.0 999.0 04.6
95 01 02 06 212 04.5 05.4 00.50 05.90 04.80 050 1007.1  06.2 999.0 999.0 05.0
95 01 02 07 177 04.0 04.7 00.50 05.60 05.20 040 1006.9  06.3 999.0 999.0 04.0
95 01 02 08 177 04.5 05.3 00.50 05.90 05.60 042 1006.3  05.8 999.0 999.0 04.2
95 01 02 09 156 03.8 04.3 00.50 10.00 06.10 091 1005.6  05.9 999.0 999.0 09.1
95 01 02 10 176 05.0 05.9 00.60 09.10 06.60 099 1004.7  05.5 999.0 999.0 09.9
95 01 02 11 158 04.8 06.4 00.60 09.10 06.60 093 1003.3  05.7 999.0 999.0 09.3
95 01 02 12 138 06.2 08.5 00.70 11.10 06.30 095 1002.0  05.9 999.0 999.0 09.5
95 01 02 13 128 08.0 10.3 00.70 06.20 04.30 055 0999.9  06.3 999.0 999.0 05.5
95 01 02 14 315 09.5 11.2 00.80 05.60 04.00 060 1000.8  03.3 999.0 999.0 06.0
95 01 02 15 286 10.2 12.5 01.00 03.60 03.90 336 1001.0  02.6 999.0 999.0 33.6
95 01 02 16 281 10.4 12.1 01.00 03.60 03.90 343 1000.5  03.0 999.0 999.0 34.3
95 01 02 17 268 12.8 15.0 01.10 03.70 03.90 305 1000.0  03.3 999.0 999.0 30.5
95 01 02 18 277 12.0 14.2 01.20 04.00 04.00 298 1000.3  03.9 999.0 999.0 29.8
95 01 02 19 285 11.4 14.2 01.30 03.80 04.00 297 1001.3  04.7 999.0 999.0 29.7
95 01 02 20 263 12.8 15.8 01.20 03.80 03.90 309 1002.5  04.0 999.0 999.0 30.9
95 01 02 21 255 12.9 15.2 01.20 04.00 04.00 298 1004.3  03.4 999.0 999.0 29.8
95 01 02 22 258 12.4 15.5 01.30 04.30 04.00 294 1005.8  02.4 999.0 999.0 29.4
95 01 02 23 263 13.9 16.4 01.20 04.20 04.00 297 1006.9  01.5 999.0 999.0 29.7
95 01 03 00 259 11.8 15.0 01.20 04.30 04.20 288 1008.5  00.5 999.0 999.0 28.8
95 01 03 01 262 11.9 15.6 01.20 04.20 04.10 289 1009.4  00.1 999.0 999.0 28.9
95 01 03 02 257 12.8 16.0 01.20 04.30 04.10 284 1010.2  00.0 999.0 999.0 28.4
95 01 03 03 255 12.7 16.3 01.30 04.50 04.10 282 1010.4 -00.1 999.0 999.0 28.2
95 01 03 04 254 12.6 15.9 01.20 04.50 03.90 285 1011.1  00.0 999.0 999.0 28.5
