id,internal_station_id,collected_at,temperature_C,salinity,dissolved_oxygen_mg/L,chlorophyll_ug/L,pheophytin_ug/L,turbidty_NTU,nitrate_nitrite_uM,ammonium_uM,ortho_phosphate_uM,silicate_uM,particulate_organic_nitrogen_uM,particulate_organic_carbon_uM,total_dissolved_nitrogen_uM,total_dissolved_phosphorus_uM,total_nitrogen_uM,total_phosphorus_uM,total_nitrogen_TDN_PON
1,1,2006-08-30T15:40:00.000Z,19.2,31.3,8.65,,,,0.01,,0.32,,,,,,,,
2,1,2006-09-27T17:31:00.000Z,18.4,31.3,10.01,,,,1.93,,0.74,,,,,,,,
3,1,2007-01-14T17:05:00.000Z,6.4,31.4,10.44,,,,0.09,,0.31,,,,,,,,
4,1,2007-02-27T09:45:00.000Z,1.1,30.1,12.52,6.3,0.01,,0.34,,0.4,,,,,,,,
5,1,2007-03-27T10:55:00.000Z,4.6,30.7,11.27,1.53,0.13,,0.01,,0.12,,,,,,8.1,0.53,
6,1,2007-05-02T14:50:00.000Z,10.3,31.1,9.22,0.57,0.08,0.52,0.01,,0.24,,,,,,5.76,0.44,
7,1,2007-05-23T09:35:00.000Z,11.7,29.5,9.67,0.65,0.1,1.12,0.52,,0.31,,,,,,8.03,0.48,
8,1,2007-09-24T16:11:00.000Z,18.5,31.8,7.86,0.87,0.08,0.09,0.01,,0.35,,,,,,7.81,0.6,
9,1,2007-11-05T15:25:00.000Z,11.3,32.2,8.67,1.8,0.32,0.43,3.84,,0.8,,,,,,15.53,0.89,
10,1,2007-12-19T16:30:00.000Z,5.2,32.2,10.78,3.45,0.33,0.23,0.74,,0.51,,,,,,,1.04,
11,1,2008-01-17T16:35:00.000Z,4.1,32.3,11.64,4.99,0.25,,1.9,,0.69,,,,,,8.62,1.06,
12,1,2008-02-22T08:25:00.000Z,2.6,31.3,12.59,5.49,0.5,,3.07,,0.6,,,,,,13.22,0.94,
13,1,2008-03-24T09:40:00.000Z,3.8,30.9,11.61,0.71,0.36,,0.11,,0.15,,,,,,7.05,0.48,
14,1,2008-04-25T16:20:00.000Z,11.7,31.5,10.07,0.99,0.16,,0.01,,0.11,,,,,,9.56,0.67,
15,1,2008-05-22T14:50:00.000Z,12.2,30,8.64,0.81,0.24,0.57,0.01,,0.29,,,,,,10.8,0.71,
16,1,2008-06-18T19:00:00.000Z,17.9,30.5,8.49,0.55,0.29,0.35,0.1,,0.17,,,,,,,,
17,1,2008-07-17T18:10:00.000Z,25.7,31.3,6.52,0.61,0.4,0.45,0.07,,0.08,,,,,,4.68,0.88,
18,1,2008-08-24T15:21:00.000Z,21.8,30.4,8.04,0.45,0.14,0.2,0.01,,0.07,,,,,,,0.51,
19,1,2008-10-08T15:00:00.000Z,15.5,31.3,8.39,0.91,0.3,0.04,0.01,,0.41,,,,,,,0.68,
20,1,2008-11-30T09:45:00.000Z,7,31.5,10.12,2.69,0.73,0.32,1.27,,0.65,,,,,,13.29,0.95,
21,1,2009-01-12T15:55:00.000Z,0.4,31.3,,1.3,0.51,,3.62,2.28,0.68,,,,,,5.79,0.98,
22,1,2009-03-10T10:05:00.000Z,2.3,33,,1.56,0.67,0.99,0.25,2.32,0.18,,,,,,20.11,0.65,
23,1,2009-04-01T17:45:00.000Z,3.8,31.9,,0.53,0.18,0.31,0.21,0.98,0.32,,,,,,7.77,0.62,
24,1,2009-05-19T13:55:00.000Z,13.3,30.7,10.29,0.62,0.16,0.09,0.01,0.52,0.09,,,,,,4,0.52,
25,1,2009-06-17T14:50:00.000Z,16.6,31.4,10.01,0.34,0.29,0.13,0.01,0.67,0.01,,,,,,3.51,0.49,
26,1,2009-07-10T16:08:00.000Z,17.7,29.7,8.91,0.56,0.66,0.21,0.01,0.12,0.01,,,,,,6.63,0.37,
