"STATION","NAME","DATE","AWND","WDF2","WSF2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-01","5.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-02","4.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-03","4.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-04","6.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-05","3.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-06","3.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-07","5.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-08","5.0",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-09","5.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-10","3.6",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-11","6.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-12","6.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-13","7.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-14","4.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-15","4.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-16","3.4",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-17","4.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-18","3.1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-19","5.2",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-20","7.5",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-21","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-22","4.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-23","3.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-24","4.7",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-25","5.9",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-26","6.8",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01-27","3.8",,
