EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
280178,BARNSTABLE (ZONE), ,01/12/2011,512,Strong Wind,48.00, ,0,0,15000,0,MA,EST-5,EG,48012,Z,22,BOX,0,0,Amateur Radio, , , , , , , , ,01/12/2011,1500, , , , ,"Several amateur radio operators recorded wind gusts from 49 to 57 mph on their home weather stations in Eastham, Barnstable, Harwich, and Chatham.  The operator in Eastham also recorded a sustained wind of 45 mph.  The Automated Surface Observing System at Barnstable Municipal Airport in Hyannis (KHYA) recorded a sustained wind speed of 31 mph.  A tree was downed onto a house in Eastham.","A developing nor'easter coastal storm dumped up to two feet of snow across Massachusetts in a 24 hour period.  Strong winds combined with the heavy snow along the coast producing numerous downed trees and wires, resulting in 100,000 homes without power statewide, though most were in southeastern Massachusetts.  Logan International Airport closed for several hours during the storm.||This was the second major storm of an above average winter of snowfall.  The first occurred December 26 and 27, with several other relatively minor snowfalls in the month of January, and a third major storm February 1 and 2.  With only a brief thaw in between the December storm and the January storm, snow piled up across southern New England resulting in numerous roof collapses, towns seeking permission to dump excess snow in area rivers and bays, and numerous disruptions to transportation.  Federal assistance was sought by Governor Patrick for costs associated with the January 12 winter storm and its cleanup.  It was granted by President Obama for Hampshire, Essex, Middlesex, Norfolk, and Suffolk counties.",1
289011,BARNSTABLE (ZONE), ,02/25/2011,1148,High Wind,52.00, ,0,0,0,0,MA,EST-5,EG,49354,Z,22,BOX,0,0,Amateur Radio, , , , , , , , ,02/25/2011,1509, , , , ,"Several 60 mph wind gusts were reported in Eastham, Barnstable, and East Falmouth.  No damage was reported.","An area of low pressure deepened through the interior Mid-Atlantic Region early on February 25th slowly moving to the northeast and reinvigorating off the immediate shoreline of New England and into the Gulf of Maine before retreating further northeast into Nova Scotia.  Heavy snows impacted interior New England during the onset of the storm, while high winds developed across the eastern shoreline as the storm deepened as the storm continued to move northeast.",2
301230,BARNSTABLE CO.,FALMOUTH,04/13/2011,700,Flood, , ,0,0,40000,0,MA,EST-5, ,50942,C,1,BOX,0,0,Newspaper,Heavy Rain, , ,0,N,1,S,SANTUIT,04/13/2011,1100,41.55,-70.62,41.6093,-70.4553,"Two to six inches of rain fell over portions of Cape Cod.  This resulted in flooding of roads, mainly in Falmouth.  The Falmouth Fire Department made several trips to rescue people from cars in water up to three feet deep.  Route 28 or Main Street in Falmouth was flooded along with Route 130 in Sandwich.","A coastal storm brought heavy rain to much of southern New England.  Areas of Cape Cod flooded as a result of two to six inches of rain.",3
329983,BARNSTABLE CO.,BREWSTER,06/09/2011,1809,Hail,0.75, ,0,0,0,0,MA,EST-5, ,54851,C,1,BOX,0,0,Amateur Radio, , , ,0,N,0,N,BREWSTER,06/09/2011,1809,41.75,-70.08,41.75,-70.08,"","A cold front pushed through southern New England producing thunderstorms.  These thunderstorms produced damaging wind and large hail.",4
333712,BARNSTABLE (ZONE), ,07/22/2011,1300,Excessive Heat, , ,0,0,0,0,MA,EST-5, ,55659,Z,22,BOX,0,0,AWOS, , , , , , , , ,07/22/2011,1500, , , , ,"The Automated Weather Observation System at Coast Guard Air Station Cape Cod (KFMH) near Falmouth, recorded heat indexes of 105 over a three hour period. The Automated Weather Observation System at Provincetown Municipal Airport (KPVC) also recorded heat indexes of 105 during this time frame.","A strong upper level ridge brought very hot temperatures to Southern New England. A moist southwest low level flow increased humidity levels such that heat index values rose above 105 degrees for a period of a few hours.",5
337512,BARNSTABLE CO.,BUZZARDS BAY,08/02/2011,1746,Hail,0.75, ,0,0,0,0,MA,EST-5, ,55364,C,1,BOX,0,0,Amateur Radio, , , ,0,N,0,N,BUZZARDS BAY,08/02/2011,1746,41.75,-70.62,41.75,-70.62,"","An upper level disturbance rotated across Southern New England.  A cold pool aloft provided good instability and thunderstorms developed across eastern Massachusetts.  A couple of these storms became severe producing quarter size hail.",6
337516,BARNSTABLE CO.,SANDWICH,08/02/2011,1815,Hail,0.75, ,0,0,0,0,MA,EST-5, ,55364,C,1,BOX,0,0,Amateur Radio, , , ,1,N,1,N,SANDWICH,08/02/2011,1815,41.76,-70.5,41.76,-70.5,"","An upper level disturbance rotated across Southern New England.  A cold pool aloft provided good instability and thunderstorms developed across eastern Massachusetts.  A couple of these storms became severe producing quarter size hail.",7
337514,BARNSTABLE CO.,MASHPEE,08/02/2011,1823,Hail,1.00, ,0,0,0,0,MA,EST-5, ,55364,C,1,BOX,0,0,Amateur Radio, , , ,0,N,0,N,MASHPEE,08/02/2011,1823,41.65,-70.48,41.65,-70.48,"","An upper level disturbance rotated across Southern New England.  A cold pool aloft provided good instability and thunderstorms developed across eastern Massachusetts.  A couple of these storms became severe producing quarter size hail.",8
341428,BARNSTABLE (ZONE), ,08/28/2011,701,Storm Surge/Tide, , ,0,0,0,0,MA,EST-5, ,56851,Z,22,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,918, , , , ,"A storm surge of 3.01 feet, associated with Tropical Storm Irene, impacted coastal Barnstable County.  Surf Drive in Falmouth was flooded.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20.  Irene moved through the Caribbean and up the east coast of the United States making landfall twice.  She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening.  She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey.  She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later.  By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States.||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts.  The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island.  The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI.  The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS).  Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA).||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state.  Some of these customers did not get their power back until the Friday following the storm (some five days later).  During the passage of Tropical Storm Irene, the winds resulted in $34.7M in property damages, storm surge resulted in $75,000 in property damages, and inland flooding resulted in $24.13M in property damages, all in Massachusetts.||This rainfall contributed to significant flooding in northwestern Massachusetts where mainstem rivers and their tributaries reached levels not seen since 1987, and in some cases (The Connecticut River at Montague) since 1938.  The Deerfield River at West Deerfield set a new flood of record at 23.8 feet, the previous record was 17.71 feet set in April of 1987.  The North River at Shattuckville set a new flood of record at 17.66 feet, the previous record was 12.32 feet set in October of 2005.  The Westfield River reached its highest level since 1980.  The Connecticut River at Holyoke, Springfield, and Northampton crested at its highest level since April 1987.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0  injuries, and $127.3M in property damage in the following counties:  Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",9
340635,BARNSTABLE (ZONE), ,08/28/2011,701,Tropical Storm, , ,0,0,3700000,0,MA,EST-5, ,56851,Z,22,BOX,0,0,Amateur Radio, , , , , , , , ,08/28/2011,2215, , , , ,"Several trees were downed in Falmouth (on Ludlam and Prospect Streets) and Wellfleet (on Cove Road).  Large branches were downed on Long Pond Road in Barnstable.||The Automated Weather Observing System at Coast Guard Air Station Cape Cod in Falmouth, MA (KFMH) recorded sustained wind speeds up to 42 knots (48 mph) with gusts to 55 knots (63 mph).  The Automated Surface Observation System at Barnstable Municipal Airport in Hyannis, MA (KHYA) recorded sustained wind speeds up to 38 knots (44 mph) with gusts to 57 knots (66 mph).  These were the highest sustained winds on land in Southern New England.  The Automated Weather Observing System at Provincetown Airport (KPVC) recorded sustained wind speeds up to 30 knots (35 mph) and gusts to 42 knots (48 mph).  The Automated Surface Observation System at Chatham Municipal Airport (KCQX) recorded sustained wind speeds up to 29 knots (33 mph) and gusts to 52 knots (60 mph).  These two points were points on land furthest from the eye of the storm.  In addition, spotters reported sustained winds up to 53 mph and gusts to 69 mph with the storm.  However, the systems at Barnstable Municipal Airport (KHYA) and Chatham Municipal Airport (KCQX) went down at 12:21pm EST and 7:39pm EST, respectively, and no further observations were recorded during Irene.","Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20.  Irene moved through the Caribbean and up the east coast of the United States making landfall twice.  She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening.  She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey.  She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later.  By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States.||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts.  The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island.  The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI.  The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS).  Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA).||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state.  Some of these customers did not get their power back until the Friday following the storm (some five days later).  During the passage of Tropical Storm Irene, the winds resulted in $34.7M in property damages, storm surge resulted in $75,000 in property damages, and inland flooding resulted in $24.13M in property damages, all in Massachusetts.||This rainfall contributed to significant flooding in northwestern Massachusetts where mainstem rivers and their tributaries reached levels not seen since 1987, and in some cases (The Connecticut River at Montague) since 1938.  The Deerfield River at West Deerfield set a new flood of record at 23.8 feet, the previous record was 17.71 feet set in April of 1987.  The North River at Shattuckville set a new flood of record at 17.66 feet, the previous record was 12.32 feet set in October of 2005.  The Westfield River reached its highest level since 1980.  The Connecticut River at Holyoke, Springfield, and Northampton crested at its highest level since April 1987.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0  injuries, and $127.3M in property damage in the following counties:  Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",10
