EventID,Location,SGNetCode,Transect,Quadrat,Species,Date,Time,Percent_Cover,Density_Source,Density_ZM_field,Shoot Density_0.25m2,Canopy Height,Flowers,Fruits,Shoot Count (core),Leaf weight (g),Sheath weight (g),Roots+rhizome (g),Grazing Evidence,Epiphytes,Wasting,Tidal Depth,Distance to Edge Left,Distance to Edge Center,Distance to Edge Right,Distance to Last Shoot Left,Distance to Last Shoot Center,Distance to Last Shoot Right,Salinity,Sediment Type Left,Sediment Type Center,Sediment Type Right,QC notes,Certified_By,Certified_Date,data_source
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,1,ZM,7/15/03,8:45,95,BL,,,25,0,7,4,0.554,0,0.6327,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,2,ZM,7/15/03,8:45,95,BL,,,24,0,3,3,0.4652,0,0.9284,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,3,ZM,7/15/03,8:45,100,BL,,,28,0,8,3,1.1315,0.0391,0.4076,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,4,ZM,7/15/03,8:45,100,BL,,,40,0,3,6,0.8337,0.0068,0.8063,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,5,ZM,7/15/03,8:45,100,BL,,,29,0,18,4,0.6569,0,0.6572,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,6,ZM,7/15/03,8:45,45,BL,,,26,0,3,4,0.3357,0.0184,0.2569,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,7,ZM,7/15/03,8:45,0,,0,,,0,0,0,0,0,0,N,Tr,,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,8,ZM,7/15/03,8:45,100,BL,,,30,0,4,10,0.7769,0.0521,0.6585,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,9,ZM,7/15/03,8:45,90,BL,,,18,0,26,13,0.6214,0.0192,0.8115,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
CACO_DH_A_ESG_7/15/2003,Duck Harbor Beach,MA20.1,A,10,ZM,7/15/03,8:45,100,BL,,,20,0,15,7,0.4689,0.0045,1.0407,N,Tr,Low,Low,42.8,42.4,12.3,56.4,52,34.5,29.8,,sand,,shoot density not meaured,"Holly Plaisted, NCBN",6/16/20,NCBN_SeagrassTransects_2003-2020_extra_FIIS_2007_dates_removed_ 20211005
