YYYY,WDIR_simple,WDIR,WSPD,GST,WVHT,DPD,APD,PRES,MWD,ATMP,WTMP,DEWP,VIS,TIDE
1995,193.8221571504129,241.92273040268103,5.761315339141234,7.078949335801244,0.8860626388407981,7.338275634559417,4.948307020788715,1014.8316804292241,81.85747133663652,9.356623190377455,NA,NA,12.218659388743314,NA
1996,NA,NA,NA,NA,0.9233179195748502,7.457399239282546,5.073879936177892,1015.3854564348029,83.47417946480827,9.175386545222752,9.952564623195931,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,197.3974684774749,243.13780754949556,5.577171776737451,6.745352978223822,0.8791330029725563,7.412444329572494,5.0667066904492986,1013.7548372387873,NA,10.07387754288398,9.912439307510784,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,194.262130800768,256.1630395218077,6.107934990882247,7.4896665141898575,0.9073080083771459,6.9457367901659595,4.784994987619097,1015.45268916381,NA,8.823151803648953,9.998692575639296,4.416995404611227,NA,NA
2001,NA,NA,5.58237585308838,6.7612168942435575,0.8021854375027395,7.255149552403126,4.910741025760025,1015.6287211221378,NA,9.986937567197543,10.600847911171616,5.733309536701137,NA,NA
2002,195.45847971832032,249.48201296621636,6.1737742523507855,7.502208262751742,0.8837660503185517,6.662298330535853,4.546061647445269,1015.2296786055914,NA,10.22708678506326,11.048718779731288,5.851119804356848,NA,NA
2003,182.1121608392951,256.4677696400275,5.8378740308728405,7.123650201495942,0.9029489943535101,7.11065648269605,4.884626941029365,1015.0558021162875,NA,8.78930169344255,9.996710958388444,5.330957241091248,NA,NA
2004,192.7394414925933,275.0235787249755,5.834617756323031,7.115447327876051,0.9316335092602022,6.78803115720899,4.772387449358671,1016.5431791003406,NA,8.911760360194966,9.959632920437446,5.510207932856723,NA,NA
2005,191.94605787006142,282.3768443736122,5.827101178551446,7.108567992956021,1.0021589824906083,7.4542497099386615,5.000590199665334,1015.422337784808,NA,9.31621222434504,10.186733773968735,6.090159817351598,NA,NA
2006,NA,NA,5.962531300841307,7.240918127931231,0.9076660536703717,6.886040744593902,4.799802753777888,1014.4254396685308,NA,10.325401154830873,10.762010730980357,NA,NA,NA
2007,199.3547549816338,266.4523592817201,6.060248060795771,7.398448385569479,0.8568607283884627,6.828199298940405,4.745659292662866,1015.4733636578044,NA,9.537093302792416,10.77522356401318,NA,NA,NA
2008,197.14834668781592,253.15756383489634,5.909614257327372,7.213959423941071,0.9575801922264732,7.377218584183904,5.089419017266459,1015.3893381164254,NA,9.912898881905297,10.830953511286369,5.871601686604359,NA,NA
2009,190.21061996765934,259.63539998323654,6.1357327437929925,7.457366283080054,0.9908303165257885,7.167856950846489,4.697839803193891,1016.0604505521071,NA,9.367459270638559,10.589736778664946,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,193.3438204659697,235.38025509855078,5.5950604526503875,6.866498727597596,NA,NA,NA,1014.6515159275904,NA,10.447543360947172,11.26692352690281,6.672582147949331,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,198.15909429354096,248.0913897467462,6.020787174905698,7.315876017470718,0.9056898135614634,7.206405915270923,4.678095497861281,1015.960403559117,86.95760927067725,9.41916964462974,10.611887035934089,NA,NA,NA
2015,195.71242141116917,247.76318822855302,5.977035482881225,7.25354485895284,0.887915419402912,7.136481751882778,4.7333400608226395,1017.0432395274966,88.83386481625949,9.785676854910033,11.07018079845507,NA,NA,NA
2016,185.0407348258978,250.6874759646852,6.189061588803214,7.522907847181725,0.8959948604001526,7.385866610342077,4.818139475654622,1015.3220773756813,81.1923214287508,10.787199777532992,12.108542301129614,NA,NA,NA
2017,189.54565285553005,231.53383491900547,6.211751162709927,7.534365683627937,0.925417906536701,7.420881663825682,4.843499456337844,1015.0411552412074,80.12168101000373,10.341823980466627,11.677984808824174,NA,NA,NA
2018,182.8466262626779,220.5146014189874,6.233274476664888,7.581248168316364,0.9544201957462826,7.3197375932355,4.820585955272971,1016.5715305720354,80.9648065580545,10.311713050697566,11.807272235242754,NA,NA,NA
2019,NA,NA,NA,NA,0.8979532934853512,7.144026769070894,4.599393232288855,1015.4285014986502,77.91412316438276,10.056461000930774,11.56506454573816,NA,NA,NA
2020,184.44444805305938,228.74489181587876,6.031944919913297,7.3951841965345535,0.90697352221322,7.393171990306695,4.7500271600241595,1015.5263104935473,80.50168815592487,11.02048281221575,11.989678095532717,7.275692401292041,NA,NA
2021,201.97158302957854,262.8434312038762,5.645637674628947,7.197419110116433,0.8659696731630787,7.513351305383794,4.666311563793774,1015.908457925956,82.88332500986164,NA,12.249754885326317,NA,NA,NA
2022,NA,NA,5.73717890657223,7.324385920032518,0.8845465711957831,7.132909842319028,4.428780668206872,1016.9715500039954,90.76077772392757,NA,12.033566747794683,NA,NA,NA
2023,NA,NA,NA,NA,0.9496544684519312,7.593861918488458,4.641729490865479,NA,85.81298010931668,NA,12.129466378166484,NA,NA,NA
2024,194.6012936299134,240.74045413660485,5.519030600482921,7.035970868727594,0.9263283419030099,7.447550837037638,4.5733766979454344,1015.9050758591646,84.04867883642314,10.707029144759906,NA,7.140645900972695,NA,NA
